organisation,slug,body_type,govuk_status,parent,total_docs,relevant_docs,guidance,statutory_guidance,detailed_guide,manual_section,manual,policy_paper,decision,regulation,notice,research,independent_report,impact_assessment,corporate_report,consultation_outcome,government_response,other_relevant
Better Regulation Delivery Office,better-regulation-delivery-office,Other,closed,department-for-business-innovation-skills,71,41,6,0,0,0,0,3,0,0,0,7,11,0,9,5,0,0
Big Lottery Fund,big-lottery-fund,Executive non-departmental public body,closed,department-for-digital-culture-media-sport,24,15,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1
Billy Wright Inquiry,billy-wright-inquiry,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Biometrics and Forensics Ethics Group,biometrics-and-forensics-ethics-group,Advisory non-departmental public body,closed,home-office,53,16,2,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0
Biometrics and Surveillance Camera Commissioner,biometrics-and-surveillance-camera-commissioner,Independent monitoring body,live,home-office,148,49,15,0,1,0,0,18,0,0,0,7,0,1,4,2,0,1
Biometrics Commissioner,biometrics-commissioner,Other,closed,home-office,39,9,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0
Biotechnology and Biological Sciences Research Council,biotechnology-biological-sciences-research-council,Sub organisation,exempt,uk-research-and-innovation,48,32,1,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0
Bloody Sunday Inquiry,bloody-sunday-inquiry,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Board of Banking Supervision,board-of-banking-supervision,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Board of Inland Revenue,board-of-inland-revenue,Other,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Board of Trustees of the Royal Botanic Gardens Kew,board-of-trustees-of-the-royal-botanic-gardens-kew,Executive non-departmental public body,exempt,department-for-environment-food-rural-affairs,37,23,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0
Bolton Education Action Zone,bolton-education-action-zone,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Bona Vacantia,bona-vacantia,Sub organisation,live,government-legal-department,199,18,1,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0
Border Force,border-force,Sub organisation,live,home-office,603,85,30,0,3,0,0,40,1,0,1,2,4,0,3,1,0,0
Border Security Command,border-security-command,Sub organisation,live,home-office,72,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
Boundary Commission for England,boundary-commission-for-england,Advisory non-departmental public body,exempt,ministry-of-housing-communities-local-government,27,24,0,0,0,0,0,0,0,0,0,0,5,0,19,0,0,0
Boundary Commission for Northern Ireland,boundary-commission-for-northern-ireland,Advisory non-departmental public body,exempt,northern-ireland-office,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Boundary Commission for Scotland,boundary-commission-for-scotland,Advisory non-departmental public body,exempt,scotland-office,8,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Boundary Commission for Wales,boundary-commission-for-wales,Advisory non-departmental public body,exempt,ministry-of-housing-communities-local-government,5,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
BPDTS Ltd,bpdts-ltd,Other,closed,department-for-work-pensions,31,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
BRB (Residuary) Ltd,brb-residuary-ltd,Public corporation,closed,department-for-transport,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Bridgwater Education Action Zone,bridgwater-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bristol Education Action Zone,bristol-education-action-zone,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
British Business Bank,british-business-bank,Other,exempt,department-for-business-and-trade,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
British Cattle Movement Service,british-cattle-movement-service,Sub organisation,live,rural-payments-agency,45,30,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
British Council,british-council,Executive non-departmental public body,exempt,foreign-commonwealth-development-office,38,6,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
British Educational Communications and Technology Agency,british-educational-communications-and-technology-agency,Executive agency,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
British Film Institute,british-film-institute,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,117,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
British Forces Post Office,british-forces-post-office,Other,closed,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
British Hallmarking Council,british-hallmarking-council,Executive non-departmental public body,live,department-for-business-and-trade,109,72,21,0,6,0,0,5,0,0,0,1,0,0,38,1,0,0
British Library,british-library,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,40,18,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1
British Museum,british-museum,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,41,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
British Pharmacopoeia Commission,british-pharmacopoeia,Advisory non-departmental public body,exempt,department-of-health-and-social-care,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
British Potato Council,british-potato-council,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
British Technology Investments Ltd,british-technology-investments-ltd,Other,exempt,department-for-science-innovation-and-technology,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Transport Police Authority,british-transport-police-authority,Executive non-departmental public body,exempt,department-for-transport,170,34,0,0,0,0,0,1,0,0,0,1,10,0,22,0,0,0
British Wool,british-wool,Other,exempt,department-for-environment-food-rural-affairs,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Broadcasting Standards Commission,broadcasting-standards-commission,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Broadmoor Hospital investigation,investigation-into-the-role-of-jimmy-savile-at-broadmoor-hospital,Sub organisation,closed,department-of-health-and-social-care,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Broads Authority,broads-authority,Other,exempt,department-for-environment-food-rural-affairs,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building Control Independent Panel,building-control-independent-panel,Ad-hoc advisory group,live,ministry-of-housing-communities-local-government,6,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Building Digital UK,building-digital-uk,Sub organisation,live,department-for-science-innovation-and-technology,244,170,13,0,45,0,0,17,0,0,0,23,0,5,7,56,0,4
Building Regulations Advisory Committee,building-regulations-advisory-committee,Advisory non-departmental public body,closed,department-for-levelling-up-housing-and-communities,14,8,1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0
Building Research Establishment,building-research-establishment,Executive agency,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Building Safety Regulator,building-safety-regulator,Executive non-departmental public body,live,ministry-of-housing-communities-local-government,98,74,13,0,34,0,0,6,0,0,0,16,0,0,4,0,0,1
Business Development Service,business-development-service,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Buying Solutions,buying-solutions,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Cabinet Office,cabinet-office,Ministerial department,live,,7668,2758,845,6,109,0,0,1012,57,0,27,135,80,13,357,77,20,20
Cabinet Office Board,cabinet-office-board,Sub organisation,live,cabinet-office,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cafcass,children-and-family-court-advisory-and-support-service,Executive non-departmental public body,exempt,ministry-of-justice,45,20,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0
"Camborne, Pool and Redruth Education Action Zone",camborne-pool-and-redruth-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cambridge Growth Company,cambridge-growth-company,Other,exempt,ministry-of-housing-communities-local-government,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capacitybuilders,capacitybuilders,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Capital for Enterprise Limited,capital-for-enterprise-ltd,Executive non-departmental public body,closed,department-for-business-innovation-skills,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Care Quality Commission,care-quality-commission,Executive non-departmental public body,exempt,department-of-health-and-social-care,161,87,19,0,1,0,0,9,0,0,0,18,0,0,36,4,0,0
Careers Wales,careers-wales,Other,exempt,welsh-government,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Advisory Committee on Compensation,central-advisory-committee-on-compensation,Other,live,ministry-of-defence,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Advisory Committee on Pensions and Compensation ,central-advisory-committee-on-pensions-and-compensation,Advisory non-departmental public body,closed,ministry-of-defence,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Central Arbitration Committee,central-arbitration-committee,Tribunal,live,department-for-business-and-trade,1019,964,5,0,27,0,0,0,929,0,1,0,0,0,2,0,0,0
Central Digital and Data Office,central-digital-and-data-office,Sub organisation,closed,department-for-science-innovation-and-technology,176,148,35,0,94,0,0,6,0,0,0,3,1,0,1,2,0,6
Central Office of Information,central-office-of-information,Other,closed,,14,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Central Police Training and Development Authority,central-police-training-and-development-authority,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Central Science Laboratory,central-science-laboratory,Executive agency,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Centre for Climate and Health Security,the-centre-for-climate-health-security,Sub organisation,live,uk-health-security-agency,101,89,2,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0
Centre for Connected and Autonomous Vehicles ,centre-for-connected-and-autonomous-vehicles,Sub organisation,live,department-for-transport,96,34,6,0,2,0,0,3,0,0,0,16,0,0,0,6,0,1
Centre for Data Ethics and Innovation,centre-for-data-ethics-and-innovation,Sub organisation,closed,department-for-science-innovation-and-technology,70,44,2,0,4,0,0,5,0,0,0,11,22,0,0,0,0,0
Centre for Defence Enterprise,centre-for-defence-enterprise,Sub organisation,closed,defence-science-and-technology-laboratory,215,29,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0
"Centre for Environment, Fisheries and Aquaculture Science",centre-for-environment-fisheries-and-aquaculture-science,Executive agency,live,department-for-environment-food-rural-affairs,340,163,42,0,25,0,0,5,0,0,1,62,3,0,24,1,0,0
Centre for the Protection of National Infrastructure,centre-for-the-protection-of-national-infrastructure,Other,closed,the-security-service-mi5,8,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Certification Officer,certification-officer,Other,live,department-for-business-and-trade,1795,1587,6,0,11,0,0,0,525,0,0,0,0,0,1045,0,0,0
CESG,cesg,Sub organisation,closed,government-communications-headquarters,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chancery Division of the High Court,chancery-division-of-the-high-court,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Channel 4,channel-4,Public corporation,exempt,department-for-culture-media-and-sport,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical and Biological Defence Establishment,chemical-and-biological-defence-establishment,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chevening Scholarship Programme ,chevening-foundation,Other,exempt,,15,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Chief Fire and Rescue Adviser,chief-fire-and-rescue-adviser-unit,Sub organisation,closed,home-office,22,7,0,0,0,0,0,2,0,0,0,3,1,0,0,1,0,0
Child Maintenance and Enforcement Commission,child-maintenance-and-enforcement-commission,Other,closed,,9,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Child Safeguarding Practice Review Panel,child-safeguarding-practice-review-panel,Other,exempt,department-for-education,48,21,2,0,1,0,0,0,0,0,0,11,2,0,5,0,0,0
Children's Workforce Development Council,childrens-workforce-development-council,Other,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Churches Conservation Trust,churches-conservation-trust,Other,exempt,department-for-culture-media-and-sport,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Circuit Commercial Court,commercial-circuit-court,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civil Aviation Authority,civil-aviation-authority,Public corporation,exempt,department-for-transport,186,94,10,2,8,0,0,9,0,0,2,2,4,0,4,32,0,21
Civil Justice Council,civil-justice-council,Advisory non-departmental public body,exempt,ministry-of-justice,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Civil Nuclear Constabulary,civil-nuclear-constabulary,Sub organisation,live,civil-nuclear-police-authority,1578,31,1,0,1,0,0,0,0,0,2,0,0,0,26,1,0,0
Civil Nuclear Police Authority,civil-nuclear-police-authority,Executive non-departmental public body,live,department-for-energy-security-and-net-zero,1505,29,1,0,1,0,0,0,0,0,2,0,0,0,25,0,0,0
Civil Procedure Rule Committee,civil-procedure-rules-committee,Advisory non-departmental public body,live,ministry-of-justice,108,71,55,0,2,0,0,0,0,0,0,0,0,0,7,0,0,7
Civil Service,civil-service,Civil service,live,cabinet-office,172,84,47,1,1,0,0,10,0,0,0,8,0,0,14,2,0,1
Civil Service Board,civil-service-board,Sub organisation,closed,civil-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civil Service Commission,civil-service-commission,Executive non-departmental public body,exempt,cabinet-office,12,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Civil Service Fast Stream,civil-service-fast-stream,Sub organisation,exempt,civil-service-resourcing,13,5,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
Civil Service Fast Track Apprenticeship,civil-service-fast-track-apprenticeship,Sub organisation,closed,cabinet-office,8,4,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Civil Service Group,civil-service-group,Sub organisation,joining,cabinet-office,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civil Service HR,civil-service-hr,Sub organisation,closed,cabinet-office,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civil Service Reform,civil-service-reform,Sub organisation,closed,civil-service,18,9,1,0,0,0,0,3,0,0,0,0,1,0,4,0,0,0
Civil Service Resourcing,civil-service-resourcing,Sub organisation,closed,civil-service,40,30,4,0,24,0,0,0,0,0,0,0,0,0,2,0,0,0
Clacton and Harwich Education Action Zone,clacton-and-harwich-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO2Sense,co2sense,Other,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Coal Authority,the-coal-authority,Executive non-departmental public body,closed,department-for-energy-security-and-net-zero,429,122,42,0,8,0,0,1,1,0,8,22,0,1,39,0,0,0
College of Policing,college-of-policing,Other,exempt,home-office,44,20,3,1,1,0,0,0,0,0,0,0,0,0,6,1,0,8
Commercial Court,commercial-court,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commission for Architecture and the Built Environment (CABE),commission-for-architecture-and-the-built-environment-cabe,Advisory non-departmental public body,closed,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Commission for Countering Extremism,commission-for-countering-extremism,Other,live,home-office,85,49,2,0,0,0,0,1,0,0,0,34,7,0,5,0,0,0
Commission for Health Improvement,commission-for-health-improvement,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Commission for Patient and Public Involvement in Health,commission-for-patient-and-public-involvement-in-health,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Commission for Racial Equality,commission-for-racial-equality,Other,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Commission for Rural Communities,commission-for-rural-communities,Other,closed,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Commission for Social Care Inspection,commission-for-social-care-inspection,Other,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Commission for the Compact,commission-for-the-compact,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Commission on Human Medicines,commission-on-human-medicines,Advisory non-departmental public body,live,department-of-health-and-social-care,37,19,0,0,0,0,0,0,0,0,0,6,5,0,5,2,1,0
Commission on Race and Ethnic Disparities,commission-on-race-and-ethnic-disparities,Other,closed,cabinet-office,15,4,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
Commissioner for Public Appointments,commissioner-for-public-appointments,Other,exempt,cabinet-office,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Commissioner for Shale Gas,shale-commissioner,Other,closed,department-for-business-energy-and-industrial-strategy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Committee on Climate Change,committee-on-climate-change,Executive non-departmental public body,exempt,department-for-energy-security-and-net-zero,30,15,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0
Committee on Fuel Poverty,committee-on-fuel-poverty,Other,live,,92,50,0,0,0,0,0,30,0,0,0,7,0,0,12,1,0,0
"Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment",committee-on-mutagenicity-of-chemicals-in-food-consumer-products-and-the-environment,Advisory non-departmental public body,live,department-of-health-and-social-care,19,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Committee on Radioactive Waste Management,committee-on-radioactive-waste-management,Other,live,,211,86,6,0,1,0,0,25,0,0,0,8,22,0,23,1,0,0
Committee on Standards in Public Life,the-committee-on-standards-in-public-life,Advisory non-departmental public body,closed,cabinet-office,604,179,3,0,0,0,0,48,0,0,1,70,31,1,18,3,2,2
"Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment",committee-on-toxicity-of-chemicals-in-food-consumer-products-and-the-environment,Other,joining,food-standards-agency,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Commonwealth Scholarship Commission in the UK,commonwealth-scholarship-commission-in-the-uk,Executive non-departmental public body,live,foreign-commonwealth-development-office,58,52,10,0,1,0,0,2,0,0,0,0,1,0,38,0,0,0
Community Development Foundation,community-development-foundation,Other,closed,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Community Fund,community-fund,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Companies House,companies-house,Executive agency,live,department-for-business-and-trade,1420,231,67,1,56,0,0,8,1,2,0,10,0,2,77,7,0,0
Companies List,companies-list,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Company Names Tribunal,company-names-tribunal,Other,live,intellectual-property-office,2315,2302,6,0,1,0,0,0,2287,0,8,0,0,0,0,0,0,0
Compensation Agency,compensation-agency,Executive agency,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Competition and Markets Authority,competition-and-markets-authority,Non-ministerial department,live,department-for-business-and-trade,6314,916,305,0,28,0,0,39,6,0,12,108,31,11,174,193,2,7
Competition Appeal Tribunal,competition-appeal-tribunal,Tribunal,exempt,department-for-business-and-trade,17,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Competition Commission,competition-commission,Executive non-departmental public body,closed,department-for-business-innovation-skills,35,16,2,0,0,0,0,0,0,0,0,1,0,0,10,3,0,0
Competition Service,competition-service,Executive non-departmental public body,exempt,department-for-business-and-trade,16,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Conflict, Stability and Security Fund",conflict-stability-and-security-fund,Sub organisation,closed,cabinet-office,226,202,0,0,1,0,0,172,0,0,0,0,0,0,29,0,0,0
Construction Industry Training Board,construction-industry-training-board,Executive non-departmental public body,exempt,department-for-work-pensions,31,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
Consumer Council for Postal Services,consumer-council-for-postal-services,Other,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Consumer Council for Water,consumer-council-for-water,Executive non-departmental public body,exempt,department-for-environment-food-rural-affairs,30,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Consumer Futures,consumer-focus,Executive non-departmental public body,closed,department-for-business-innovation-skills,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Cooksey Review,cooksey-review,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Copyright Tribunal,copyright-tribunal,Tribunal,live,department-for-science-innovation-and-technology,13,4,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
Corby Education Action Zone,corby-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Corporate Officers of the House of Commons,corporate-officers-of-the-house-of-commons,Executive non-departmental public body,live,cabinet-office,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corporate Officers of the House of Lords,corporate-officers-of-the-house-of-lords,Executive non-departmental public body,live,cabinet-office,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Council for Catholic Maintained Schools,council-for-catholic-maintained-schools,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Council for Healthcare Regulatory Excellence,council-for-healthcare-regulatory-excellence,Other,closed,,13,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Council for Science and Technology,council-for-science-and-technology,Other,live,,127,27,0,0,0,0,0,2,0,0,1,15,0,0,9,0,0,0
